Code,Officialname,Keph level,Facility type,Owner,Owner type,Regulatory body,Constituency,Sub county,Ward,Operation status,Admission status,Open_whole_day,Open_public_holidays,Open_weekends,Open_late_night,Approved,Public visible,Closed,code,name,officialname,registration_number,keph_level_name,facility_type_name,facility_type_category,county,constituency,ward,owner_name,owner_type_name,regulatory_body_name,beds,cots,search,county_name,constituency_name,sub_county,sub_county_name,ward_name,keph_level,facility_type,owner_type,owner,operation_status,operation_status_name,admission_status_name,open_whole_day,open_public_holidays,open_weekends,open_late_night,services,categories,service_names,infrastructure,infrastructure_names,infrastructure_categories,speciality_names,speciality_categories,is_public_visible,created,closed,is_published,id,lat,long,_merge
25776.0,AGC Ngoron dispensary,Level 2,Dispensary,Other Faith Based,Faith Based Organization,Other,Tiaty,Tiaty West,Tirioko,Operational,,No,No,No,No,Yes,Yes,No,25776.0,AGC Ngoron dispensary,AGC Ngoron dispensary,,Level 2,Dispensary,DISPENSARY,7c942357-44a8-49c9-9ca6-8247ad903b57,655c6da0-4600-4ae0-9682-ad7e5e3b1c65,26ffccf2-994b-44e4-adad-c3ba23e4c18e,Other Faith Based,Faith Based Organization,Other,0.0,0.0,,Baringo,Tiaty,e12cba2c-d62f-48f2-906d-033ca812ad29,Tiaty West,Tirioko,ceab4366-4538-4bcf-b7a7-a7e2ce3b50d5,55d65dd6-5351-4cf4-a6d9-e05ce6d343ab,ca268e6b-7e45-4264-97bf-43b6c68fb21e,15aa5a44-0833-4e8f-83e6-916e5e5ab213,ae75777e-5ce3-4ac9-a17e-63823c34b55e,Operational,,False,False,False,False,"['1a536286-c5b9-46f4-a72f-919c1fccb8e8', '77d43360-24b3-4c46-9493-887511862b70', '2945b0bd-bc1a-4538-ad89-12b6fd60a7f6', '969d5083-e88f-4109-8048-948e64ad0f7f', '49f4af68-6a24-4348-afdd-7e47e225ed33', '8bfb7f08-f301-4daa-b2c8-5caec49abdfe', '725ec11e-a9e0-4887-924a-88c21f5e53bd', '04924a6b-1355-4cff-89fe-980da6782794', '53de4b8f-1afd-48ae-b932-fbd2d6285aa5', 'c5847686-3194-456b-93af-796b49b420b3', '5afb8ee9-a603-48d1-89f5-48b80310d3be', '437ee289-6c70-4c08-b0b6-8f6409fca992']","['36d2f7a8-41b3-40f8-8943-e513fa28c8db', 'f312d0b2-5e41-4587-b54d-ff1d1bc128c6', '24fd65c9-56ea-497c-82ec-3fdf0ac9d006', '281fa080-27a0-46aa-b1e5-1e0a69146c09', 'ed4c8e0c-865e-4c31-8ff8-24b1f4caedf7', '731362b6-7769-480d-be85-23cb895c5525', 'e999f9ed-870c-4ee3-8668-d66c05253f46', '4da1bda7-0f22-4aab-ae23-4c86d206dfaf', '2086ae8e-bfd5-48b9-bfa8-f8bac94d16a2', 'f9841f9a-e435-4bbe-b52e-ac71668af4dc', '5e5201c1-1b06-4981-9c78-d652b87f060b']","['New born Care Service', 'TT toxoid for Pregnant Women', 'Postnatal care services', 'Basic Obstetric Care (BMOC)', 'Short Acting Method', 'Focused Antenatal Care', 'General Emergency Services', 'Integrated Management of Newborn & Childhood Illnesses', 'Class C', 'Long Acting Method', 'Child Immunization', 'General Outpatient']",[],[],[],[],[],True,2020-05-15T15:14:31.656790Z,False,True,9841ef13-8617-4b70-9236-769999b06be6,35.79199,1.28767,both
14193.0,Aiyebo Dispensary,Level 2,Dispensary,Ministry of Health,Ministry of Health,Ministry of Health,Baringo North,Baringo North,Saimoi/Kipsaraman,Operational,,No,No,No,No,Yes,Yes,No,14193.0,Aiyebo Dispensary,Aiyebo Dispensary,,Level 2,Dispensary,DISPENSARY,7c942357-44a8-49c9-9ca6-8247ad903b57,e9d5c0e1-a0c3-4053-bd2a-052ff54a64e3,30376074-d470-49d5-8db9-d0a7a9b68558,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0.0,,Baringo,Baringo North,5c770b6e-18f4-4832-8d01-702aed7aeaec,Baringo North,Saimoi/Kipsaraman,ceab4366-4538-4bcf-b7a7-a7e2ce3b50d5,55d65dd6-5351-4cf4-a6d9-e05ce6d343ab,6a833136-5f50-46d9-b1f9-5f961a42249f,4560545a-67c7-4b2b-87be-b0babee4cb83,ae75777e-5ce3-4ac9-a17e-63823c34b55e,Operational,,False,False,False,False,[],[],[],[],[],[],[],[],True,2009-10-31T00:00:00Z,False,True,b25c7aab-ea2d-4fd5-86d5-e674aab17f87,35.80768,0.65783,both
20481.0,Akorian Dispensary,Level 2,Dispensary,Ministry of Health,Ministry of Health,Ministry of Health,Baringo North,Baringo North,Saimo/Soi,Operational,,No,No,No,No,Yes,Yes,No,20481.0,Akorian Dispensary,Akorian Dispensary,,Level 2,Dispensary,DISPENSARY,7c942357-44a8-49c9-9ca6-8247ad903b57,e9d5c0e1-a0c3-4053-bd2a-052ff54a64e3,7c08fdbf-167d-450b-8de2-eeb6e8dd6dcb,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0.0,,Baringo,Baringo North,5c770b6e-18f4-4832-8d01-702aed7aeaec,Baringo North,Saimo/Soi,ceab4366-4538-4bcf-b7a7-a7e2ce3b50d5,55d65dd6-5351-4cf4-a6d9-e05ce6d343ab,6a833136-5f50-46d9-b1f9-5f961a42249f,4560545a-67c7-4b2b-87be-b0babee4cb83,ae75777e-5ce3-4ac9-a17e-63823c34b55e,Operational,,False,False,False,False,[],[],[],[],[],[],[],[],True,2014-08-20T19:44:21.177000Z,False,True,650c635e-555a-4870-8b20-b632e6baaedf,35.90683,0.62234,both
20457.0,Akwichatis Health Centre,Level 3,Basic Health Centre,Ministry of Health,Ministry of Health,Ministry of Health,Tiaty,Tiaty East,Silale,Operational,,No,No,No,No,Yes,Yes,No,20457.0,Akwichatis Health Centre,Akwichatis Health Centre,,Level 3,Basic Health Centre,HEALTH CENTRE,7c942357-44a8-49c9-9ca6-8247ad903b57,655c6da0-4600-4ae0-9682-ad7e5e3b1c65,86e905d0-0fbd-42e3-9d91-2ec03a050f0c,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0.0,,Baringo,Tiaty,f20c064e-80a6-4ac6-aa29-ab371368db57,Tiaty East,Silale,174f7d48-3b57-4997-a743-888d97c5ec31,479a9a16-219f-48f6-818d-b2c06ada2332,6a833136-5f50-46d9-b1f9-5f961a42249f,4560545a-67c7-4b2b-87be-b0babee4cb83,ae75777e-5ce3-4ac9-a17e-63823c34b55e,Operational,,False,False,False,False,"['1a536286-c5b9-46f4-a72f-919c1fccb8e8', '04924a6b-1355-4cff-89fe-980da6782794', '53de4b8f-1afd-48ae-b932-fbd2d6285aa5', '5afb8ee9-a603-48d1-89f5-48b80310d3be', '437ee289-6c70-4c08-b0b6-8f6409fca992', '969d5083-e88f-4109-8048-948e64ad0f7f', '49f4af68-6a24-4348-afdd-7e47e225ed33', 'ec4f6f43-e4f0-47c9-8f73-90df9a29fac5', 'a52eb0df-78e1-4bd9-83f3-576f1149e3a8', '50a08e32-ff66-47e2-8e7f-130be6ef0c9f']","['f312d0b2-5e41-4587-b54d-ff1d1bc128c6', '281fa080-27a0-46aa-b1e5-1e0a69146c09', '731362b6-7769-480d-be85-23cb895c5525', 'e999f9ed-870c-4ee3-8668-d66c05253f46', '4da1bda7-0f22-4aab-ae23-4c86d206dfaf', '3a7cb460-2ecb-450b-b21a-4c67e90ba6d2', 'f9841f9a-e435-4bbe-b52e-ac71668af4dc']","['HIV risk reduction for priority populations and geographies', 'TT toxoid for Pregnant Women', 'Short Acting Method', 'Natural', 'Focused Antenatal Care', 'General Emergency Services', 'Long Acting Method', 'Child Immunization', 'General Outpatient', 'Condom Distribution & STI Prevention']","['1135b700-9ecd-4ad1-a83f-ff77f8316f07', 'e5ee955b-6348-44dc-8123-44e4e027bd67', 'c09f3db0-8015-4849-bc2c-5994c040835b', 'f758330c-501c-4744-8d26-2356d4a578e4']","['Fridges', 'Mobile Phone', 'Open burning', 'Graded ( Murrum )']",[],['KRCHN'],['NURSES AND SPECIALIST'],True,2014-08-19T10:23:36.443000Z,False,True,7657868b-9a05-461a-adaa-dde3b1cb755a,36.236171,1.001501,both
14211.0,Arama dispensary,Level 2,Dispensary,Ministry of Health,Ministry of Health,Ministry of Health,Eldama Ravine,Koibatek,Lembus Kwen,Operational,,No,No,No,No,Yes,Yes,No,14211.0,Arama Dispensary,Arama dispensary,,Level 2,Dispensary,DISPENSARY,7c942357-44a8-49c9-9ca6-8247ad903b57,e75aaf44-f6da-4806-a231-ad0fb96d8e80,ef978d31-e99a-4cd0-b39f-039b3c612aac,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0.0,,Baringo,Eldama Ravine,a678fa4f-0fbf-4e8e-9104-1ff8e27a9a37,Koibatek,Lembus Kwen,ceab4366-4538-4bcf-b7a7-a7e2ce3b50d5,55d65dd6-5351-4cf4-a6d9-e05ce6d343ab,6a833136-5f50-46d9-b1f9-5f961a42249f,4560545a-67c7-4b2b-87be-b0babee4cb83,ae75777e-5ce3-4ac9-a17e-63823c34b55e,Operational,,False,False,False,False,"['1a536286-c5b9-46f4-a72f-919c1fccb8e8', '804da01b-dc0e-4be8-8c27-82fed3c6d693', '77e15030-e647-49ca-a4f8-8b6ed243343f', '49f4af68-6a24-4348-afdd-7e47e225ed33', 'ffecc894-9de5-4781-b129-a4a802dba68d', '04924a6b-1355-4cff-89fe-980da6782794', '982194b5-983e-473c-8612-92e697ab5b5b', '0f4bfc1a-f6cf-4609-9ddb-4c05af76ecbb', '5afb8ee9-a603-48d1-89f5-48b80310d3be', '437ee289-6c70-4c08-b0b6-8f6409fca992', '8bfb7f08-f301-4daa-b2c8-5caec49abdfe', '725ec11e-a9e0-4887-924a-88c21f5e53bd', 'f0208ecb-2117-4bfd-9d99-1513b35f7abb', '50d69e93-5be8-4934-8cb4-3497a82f6e41', '01f8c798-86ac-4a44-9342-2e7aa1ef2615', 'a52eb0df-78e1-4bd9-83f3-576f1149e3a8', '50a08e32-ff66-47e2-8e7f-130be6ef0c9f', '0a51ea8d-e8ce-433a-a382-993e9b380496', '8ebf7fc6-6a8d-4d1e-9a36-d68f59060dd4', '2945b0bd-bc1a-4538-ad89-12b6fd60a7f6', '969d5083-e88f-4109-8048-948e64ad0f7f', '165745cf-3424-4649-811c-4436895f8695', '112bc779-78af-4e06-bf84-de67cceac81d']","['f312d0b2-5e41-4587-b54d-ff1d1bc128c6', '281fa080-27a0-46aa-b1e5-1e0a69146c09', 'ed4c8e0c-865e-4c31-8ff8-24b1f4caedf7', '12bfc71f-280f-4c0b-8fb6-c5355a2eef0b', '731362b6-7769-480d-be85-23cb895c5525', 'e999f9ed-870c-4ee3-8668-d66c05253f46', '4da1bda7-0f22-4aab-ae23-4c86d206dfaf', '2086ae8e-bfd5-48b9-bfa8-f8bac94d16a2', '3a7cb460-2ecb-450b-b21a-4c67e90ba6d2', '9614d93b-1695-486e-85bd-4df0c4571b01', '3907645f-f8f9-44da-b66c-ebf73bedacac', 'f9841f9a-e435-4bbe-b52e-ac71668af4dc', '5e5201c1-1b06-4981-9c78-d652b87f060b', 'f2cd8d63-b836-4b6e-adbb-b9559f39f130']","['TT toxoid for Pregnant Women', 'Postnatal care services', 'Tuberculosis Treatment', 'Basic Obstetric Care (BMOC)', 'Short Acting Method', 'Natural', 'Focused Antenatal Care', 'Vaccination services given to travellers', 'Basic Eye Care', 'Growth Monitoring', 'Basic Emergency Preparedness -Advanced  Life Support', 'HIV Counselling & Testing', 'Integrated Management of Newborn & Childhood Illnesses', 'Basic IMCI-management of acute Infections', 'Infection Prevention and control to mitigate HIV infection in the work place', 'Management of Sexually Transmitted Illness (STI)', 'Long Acting Method', 'Child Immunization', 'General Outpatient', 'General Emergency  Services', 'Condom Distribution & STI Prevention', 'HIV preventive Package', 'EMTCT-Elimination of Mother to Child  Transmission of HIV']","['317ef972-f6fa-46e2-a14e-20f53cae0184', '5f9b7153-afd4-4444-81a2-0cc20bffc938', 'e5ee955b-6348-44dc-8123-44e4e027bd67', 'f7175d2a-348b-4e9b-8e4a-9bc30843762a', '1135b700-9ecd-4ad1-a83f-ff77f8316f07', 'c09f3db0-8015-4849-bc2c-5994c040835b', '5710fbc7-21cd-4c8d-a439-3493adb11e56', '0af9fae0-e006-4a2d-8eb5-a033583e93b3', '1979c47e-82f6-41ae-8381-8294ac9b1d31']","['Piped Water', 'Vaccine Carriers', 'Open burning', 'Roof Harvested Water', 'Main Grid', 'Printers', 'Computer (Desktops)', 'Graded ( Murrum )', 'Fridges']",[],"['Cleaners', 'Security', 'General Clinical Officers(Diploma)', 'Kenya Registered Nurse']","['SUPPORT STAFF', 'CLINICAL OFFICERS', 'NURSES AND SPECIALIST']",True,2009-10-31T00:00:00Z,False,True,76abc7e7-7f21-4acc-9be7-1cf81629fd6e,35.66081,0.04383,both
14220.0,Atiar Dispensary,Level 2,Dispensary,Ministry of Health,Ministry of Health,Ministry of Health,Baringo North,Baringo North,Bartabwa,Operational,,No,No,No,No,Yes,Yes,No,14220.0,Atiar Dispensary,Atiar Dispensary,,Level 2,Dispensary,DISPENSARY,7c942357-44a8-49c9-9ca6-8247ad903b57,e9d5c0e1-a0c3-4053-bd2a-052ff54a64e3,a99a25aa-b4cb-44e7-b9d6-782a6b73551e,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0.0,,Baringo,Baringo North,5c770b6e-18f4-4832-8d01-702aed7aeaec,Baringo North,Bartabwa,ceab4366-4538-4bcf-b7a7-a7e2ce3b50d5,55d65dd6-5351-4cf4-a6d9-e05ce6d343ab,6a833136-5f50-46d9-b1f9-5f961a42249f,4560545a-67c7-4b2b-87be-b0babee4cb83,ae75777e-5ce3-4ac9-a17e-63823c34b55e,Operational,,False,False,False,False,"['04924a6b-1355-4cff-89fe-980da6782794', '5afb8ee9-a603-48d1-89f5-48b80310d3be']","['731362b6-7769-480d-be85-23cb895c5525', '4da1bda7-0f22-4aab-ae23-4c86d206dfaf']","['Focused Antenatal Care', 'General Outpatient']","['93df9f1f-7b07-4102-86e7-eeff6018e93e', '5f9b7153-afd4-4444-81a2-0cc20bffc938', 'e5ee955b-6348-44dc-8123-44e4e027bd67', 'f758330c-501c-4744-8d26-2356d4a578e4', '0af9fae0-e006-4a2d-8eb5-a033583e93b3', '1135b700-9ecd-4ad1-a83f-ff77f8316f07']","['Fridges', 'Mobile Phone', 'Vaccine Carriers', 'Open burning', 'Roof Harvested Water', 'Tarmac']",[],['KRCHN'],['NURSES AND SPECIALIST'],True,2009-10-31T00:00:00Z,False,True,55e49c76-8153-4130-9f59-983630b42f89,35.8183,0.77933,both
20475.0,Ayatya Dispensary,Level 2,Dispensary,Ministry of Health,Ministry of Health,Ministry of Health,Baringo North,Baringo North,Barwessa,Operational,,No,No,No,No,Yes,Yes,No,20475.0,Ayatya Dispensary,Ayatya Dispensary,,Level 2,Dispensary,DISPENSARY,7c942357-44a8-49c9-9ca6-8247ad903b57,e9d5c0e1-a0c3-4053-bd2a-052ff54a64e3,9d3b4919-a120-4641-a8a0-cdb9c24b8051,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0.0,,Baringo,Baringo North,5c770b6e-18f4-4832-8d01-702aed7aeaec,Baringo North,Barwessa,ceab4366-4538-4bcf-b7a7-a7e2ce3b50d5,55d65dd6-5351-4cf4-a6d9-e05ce6d343ab,6a833136-5f50-46d9-b1f9-5f961a42249f,4560545a-67c7-4b2b-87be-b0babee4cb83,ae75777e-5ce3-4ac9-a17e-63823c34b55e,Operational,,False,False,False,False,[],[],[],[],[],[],[],[],True,2014-08-19T12:17:39.067000Z,False,True,b9ba1670-9527-4378-b0da-8715311e551c,35.78822,0.674182,both
24323.0,Barbarchun Dispensary,Level 2,Dispensary,Ministry of Health,Ministry of Health,Ministry of Health,Baringo North,Baringo North,Bartabwa,Operational,,No,No,No,No,Yes,Yes,No,24323.0,Barbarchun Dispensary,Barbarchun Dispensary,,Level 2,Dispensary,DISPENSARY,7c942357-44a8-49c9-9ca6-8247ad903b57,e9d5c0e1-a0c3-4053-bd2a-052ff54a64e3,a99a25aa-b4cb-44e7-b9d6-782a6b73551e,Ministry of Health,Ministry of Health,Ministry of Health,0.0,0.0,,Baringo,Baringo North,5c770b6e-18f4-4832-8d01-702aed7aeaec,Baringo North,Bartabwa,ceab4366-4538-4bcf-b7a7-a7e2ce3b50d5,55d65dd6-5351-4cf4-a6d9-e05ce6d343ab,6a833136-5f50-46d9-b1f9-5f961a42249f,4560545a-67c7-4b2b-87be-b0babee4cb83,ae75777e-5ce3-4ac9-a17e-63823c34b55e,Operational,,False,False,False,False,"['5afb8ee9-a603-48d1-89f5-48b80310d3be', '437ee289-6c70-4c08-b0b6-8f6409fca992']","['f312d0b2-5e41-4587-b54d-ff1d1bc128c6', '4da1bda7-0f22-4aab-ae23-4c86d206dfaf']","['Short Acting Method', 'General Outpatient']","['1979c47e-82f6-41ae-8381-8294ac9b1d31', '93df9f1f-7b07-4102-86e7-eeff6018e93e', '317ef972-f6fa-46e2-a14e-20f53cae0184', '5f9b7153-afd4-4444-81a2-0cc20bffc938', 'e5ee955b-6348-44dc-8123-44e4e027bd67', '1135b700-9ecd-4ad1-a83f-ff77f8316f07', 'f758330c-501c-4744-8d26-2356d4a578e4', '0af9fae0-e006-4a2d-8eb5-a033583e93b3']","['Fridges', 'Mobile Phone', 'Vaccine Carriers', 'Open burning', 'Roof Harvested Water', 'Tarmac', 'Printers', 'Computer (Desktops)']",[],['KRCHN'],['NURSES AND SPECIALIST'],True,2018-10-15T17:26:25.354523Z,False,True,1c5bd4ce-df42-465e-902f-f6c9c23702ff,35.821728,0.773617,both
20968.0,Baringo County Beyond Zero Mobile Clinic,Level 2,Dispensary,Ministry of Health,Ministry of Health,Ministry of Health,Baringo Central,Baringo Central,Kabarnet,Operational,,No,No,No,No,Yes,Yes,No,20968.0,Baringo County Beyond Zero Mobile Clinic,Baringo County Beyond Zero Mobile Clinic,,Level 2,Dispensary,DISPENSARY,7c942357-44a8-49c9-9ca6-8247ad903b57,9fcb8e52-0034-4e8a-a610-c94c70cfa213,adff389b-2636-404b-a999-df218328df84,Ministry of Health,Ministry of Health,Ministry of Health,0.0,1.0,,Baringo,Baringo Central,e8c76e82-eb7c-4c36-b32b-7000e67beed5,Baringo Central,Kabarnet,ceab4366-4538-4bcf-b7a7-a7e2ce3b50d5,55d65dd6-5351-4cf4-a6d9-e05ce6d343ab,6a833136-5f50-46d9-b1f9-5f961a42249f,4560545a-67c7-4b2b-87be-b0babee4cb83,ae75777e-5ce3-4ac9-a17e-63823c34b55e,Operational,,False,False,False,False,[],[],[],[],[],[],[],[],True,2015-06-17T09:32:14.763000Z,False,True,31a7b78f-5afd-43cc-9d4d-42949939661d,35.7436,0.49119,both
14607.0,Baringo County Referral Hospital,Level 5,Comprehensive Teaching & Tertiary Referral Hospital,Ministry of Health,Ministry of Health,Ministry of Health,Baringo Central,Baringo Central,Kabarnet,Operational,Admitting General & Maternity Patients,Yes,Yes,Yes,Yes,Yes,Yes,No,14607.0,Baringo County Referral Hospital,Baringo County Referral Hospital,,Level 5,Comprehensive Teaching & Tertiary Referral Hospital,HOSPITALS,7c942357-44a8-49c9-9ca6-8247ad903b57,9fcb8e52-0034-4e8a-a610-c94c70cfa213,adff389b-2636-404b-a999-df218328df84,Ministry of Health,Ministry of Health,Ministry of Health,186.0,11.0,,Baringo,Baringo Central,e8c76e82-eb7c-4c36-b32b-7000e67beed5,Baringo Central,Kabarnet,7824068f-6533-4532-9775-f8ef200babd1,b9a51572-c931-4cc5-8e21-f17b22b0fd20,6a833136-5f50-46d9-b1f9-5f961a42249f,4560545a-67c7-4b2b-87be-b0babee4cb83,ae75777e-5ce3-4ac9-a17e-63823c34b55e,Operational,Admitting General & Maternity Patients,True,True,True,True,"['22d0a934-59a2-4e75-8713-c243c8daa59e', '77e15030-e647-49ca-a4f8-8b6ed243343f', '498a9c31-96b7-4797-8731-f8f0f5be4e94', 'cf81709b-6f63-49f8-bacc-a6c802048d33', 'a7f087e2-cc9f-4ff3-9edd-376daa75a6dd', '49f4af68-6a24-4348-afdd-7e47e225ed33', '1db2c15c-cd57-430b-b8ef-73ac984a611c', '04dcd521-4fad-4281-bbe4-d7a39f952436', '01f1c9b4-52f8-4fc4-b7f9-6a7343be23aa', '1f50d873-9042-44c6-90a4-fcdafe2e2b4e', '46101137-3465-42dd-8404-c6ca65033bb8', 'dbc5657f-73fb-4133-83a1-513a6c620a68', 'c9162cc6-2e14-42ca-9014-96826e97c5fc', '8bfb7f08-f301-4daa-b2c8-5caec49abdfe', '08fffb33-be96-4576-83fd-bcaa59610ec2', '77d43360-24b3-4c46-9493-887511862b70', '2945b0bd-bc1a-4538-ad89-12b6fd60a7f6', '969d5083-e88f-4109-8048-948e64ad0f7f', '112bc779-78af-4e06-bf84-de67cceac81d', '368c963a-b8de-461b-aa82-5ee1b0c0e391', '4764c7de-427c-4993-ab30-ed5bc7368049', '8b7e2473-b1a0-4e5b-98fd-6d32b3a3f36b', 'de7c5fea-f358-4f2e-8cb4-517a3fcc3bf6', 'e9b6d8ff-c708-4055-918c-3fe518ffe49b', '04924a6b-1355-4cff-89fe-980da6782794', '08d613f8-8a02-4ae0-92fb-e1f3605fbaf2', '510318fd-789f-4eae-80fc-56454f5f24eb', '3591e320-440b-4fee-8558-3e0d896f2801', 'ea9984a1-0652-4c5b-9ad8-716402fa1275', '63de1b60-21aa-49d4-b321-f8cb691a9447', '5afb8ee9-a603-48d1-89f5-48b80310d3be', '437ee289-6c70-4c08-b0b6-8f6409fca992', 'e7310e58-762f-4aa5-bab4-9ba1fd81aa2e', '1608379a-09f7-4ff1-9f09-f02bc0063357', '4affde88-738a-4326-94bf-44330fac9d9b', '725ec11e-a9e0-4887-924a-88c21f5e53bd', '50d69e93-5be8-4934-8cb4-3497a82f6e41', '5e40c92b-0817-4c0d-a318-2bf902b5c014', '64636842-b5c8-4348-ae45-37327d29308d', 'edb9376c-28d3-4362-b90a-5301be6e4b6e', '1a536286-c5b9-46f4-a72f-919c1fccb8e8', '69d94bd2-2294-456f-988a-7f93ed6b4a7a', '175f9481-9e91-481a-aa47-173e790c41df', 'a6def273-73e1-4444-b976-258b7aa16ae0', 'c8f86493-3e56-404d-ae01-3b942a19dc78', '4a0a80ec-038f-4488-9b7e-9c6e6ce1294c', '595d129b-1b11-453d-a9d1-428297805872', '01f8c798-86ac-4a44-9342-2e7aa1ef2615', 'a52eb0df-78e1-4bd9-83f3-576f1149e3a8', 'b92634da-17c6-483d-ad82-807a54737886', 'e9ae5089-92c5-4056-adb9-e4c189ffd2b0', 'd6312b2a-4ea8-4c9e-bd12-7125abb30ddd', '165745cf-3424-4649-811c-4436895f8695']","['36d2f7a8-41b3-40f8-8943-e513fa28c8db', 'f312d0b2-5e41-4587-b54d-ff1d1bc128c6', '24fd65c9-56ea-497c-82ec-3fdf0ac9d006', '281fa080-27a0-46aa-b1e5-1e0a69146c09', '4a5acc1b-894f-4405-b80e-8e1cfe2609c5', 'ed4c8e0c-865e-4c31-8ff8-24b1f4caedf7', '6b43a283-fe4d-4734-a242-d4d9899042e4', '731362b6-7769-480d-be85-23cb895c5525', 'e999f9ed-870c-4ee3-8668-d66c05253f46', '99af6fc1-8ec0-4741-a424-f8d0f5b427b5', '3e3aaefc-720d-4179-b2f6-e2106ee1cdb3', '4da1bda7-0f22-4aab-ae23-4c86d206dfaf', '2086ae8e-bfd5-48b9-bfa8-f8bac94d16a2', '3a7cb460-2ecb-450b-b21a-4c67e90ba6d2', '7de52474-6aa9-4bd2-8291-a5cd29a1b64c', '39a7a6a6-3dd6-4b29-a0f9-6bf67590871f', '6f8c6c75-135c-4911-848d-8d3467c00605', '4b37538b-483c-4209-8ebc-7f20bee1ef2e', 'f9841f9a-e435-4bbe-b52e-ac71668af4dc', 'a2b3b32d-dd24-4ee6-9170-1ccba11dd9c8', 'ce8c70b7-14f1-4d56-a7d1-0b5f2886a6d0', '5e5201c1-1b06-4981-9c78-d652b87f060b', 'ec0ca70d-938a-480f-8fcd-1b729034051b', '09486fbb-8b12-41fa-aa9f-dce183608bb8', 'f32cdd06-fcde-496d-944b-ac5187130d9d', 'f2cd8d63-b836-4b6e-adbb-b9559f39f130', '71e0e86e-bd52-40d5-8f30-3afc9f491840', '2bd4d89c-f532-4ac0-97d4-7e235f199b12', '9bd7424e-c333-471f-974d-6f8283fa263c']","['Accident and Emergency casualty Services', 'Skin clinic', 'TT toxoid for Pregnant Women', 'Postnatal care services', 'Facility offering Blood Transfusion Service', 'Hospital - Retail services', 'HIV treatment and care', 'Xray', 'Basic Occupational Therapy-all', 'Integrated Management of Newborn & Childhood Illnesses', 'General Theatre Services', 'Infection Prevention and control to mitigate HIV infection in the work place', 'Inpatient', 'Surgical outpatient clinic', 'Multi-Drug Resistant Tuberculosis Treatment', 'Medical Outpatient Clinic', 'Basic Mental Health Services -Psychosocial interventions promotive, preventive mental health services', 'Long Acting Method', 'Minor Theatre Services', 'Ambulatory Services', 'General Radiography services', 'Child Immunization', 'General Outpatient', 'Youth - Friendly Services', 'Ear, Nose and Throat Services', 'Utra-Sound', 'Comprehensive Maternity Obstetric Care (CeMOC)', 'Condom Distribution & STI Prevention', 'Basic Mortuary Services', 'CT scans', 'Paediatric outpatient clinic', 'Gynaecology out-patient clinic', 'EMTCT-Elimination of Mother to Child  Transmission of HIV', 'ICU services', 'Ophthalmic services', 'New born Care Service', 'Tuberculosis Culture', 'Tuberculosis Treatment', 'Basic Obstetric Care (BMOC)', 'Short Acting Method', 'GeneXpert', 'Focused Antenatal Care', 'Vaccination services given to travellers', 'Class A', 'Smear Microscopy', 'Specialised Dental services', 'HIV Counselling & Testing', 'Specialised X-Ray', 'Barium Meal', 'Comprehensive Mortuary Services', 'Basic dental services', 'Basic Physiotherapy', 'Opthamology']",[],[],[],[],[],True,2009-10-31T00:00:00Z,False,True,ff190774-d994-4465-8850-9ac6477b9eb2,35.74176,0.48505,both
